StartDate,EndDate,UpdateDate,StockCode,StockName,Broker,Type,Title,URL,title_str,stock_str
2020-06-09 09:30:00,,2020-06-08 17:25:28,300558,贝达药业,东方证券,电话会议,贝达药业,https://www.kanzhiqiu.com/calendar/event.htm?id=34673,东方证券**电话会议**贝达药业,"<b class=""stock"">300558贝达药业</b>"
2020-06-09 10:00:00,,2020-06-08 17:04:06,002137,麦达数字,东吴证券,联合调研,麦达数字,https://www.kanzhiqiu.com/calendar/event.htm?id=34666,东吴证券**联合调研**麦达数字,"<b class=""stock"">002137麦达数字</b>"
2020-06-09 10:00:00,,2020-06-08 17:25:28,002382,蓝帆医疗,东方证券,电话会议,蓝帆医疗,https://www.kanzhiqiu.com/calendar/event.htm?id=34674,东方证券**电话会议**蓝帆医疗,"<b class=""stock"">002382蓝帆医疗</b>"
2020-06-09 10:00:00,,2020-06-08 17:25:28,02020,安踏体育,东方证券,电话会议,安踏体育,https://www.kanzhiqiu.com/calendar/event.htm?id=34675,东方证券**电话会议**安踏体育,"<b class=""stock"">02020安踏体育</b>"
2020-06-09 10:00:00,,2020-06-09 08:27:37,,,海通证券,电话会议,教育板块,https://www.kanzhiqiu.com/calendar/event.htm?id=34705,海通证券**电话会议**教育板块,
2020-06-09 10:00:00,,2020-06-08 17:25:28,002557,洽洽食品,东方证券,电话会议,洽洽食品,https://www.kanzhiqiu.com/calendar/event.htm?id=34676,东方证券**电话会议**洽洽食品,"<b class=""stock"">002557洽洽食品</b>"
2020-06-09 10:00:00,,2020-06-08 17:04:06,002850,科达利,东吴证券,联合调研,科达利,https://www.kanzhiqiu.com/calendar/event.htm?id=34665,东吴证券**联合调研**科达利,"<b class=""stock"">002850科达利</b>"
2020-06-09 11:30:00,2020-06-09 12:00:00,2020-06-09 09:52:56,,,中泰证券,电话会议,红梅已把春来报，选坐轻舟过重山,https://www.kanzhiqiu.com/calendar/event.htm?id=34761,中泰证券**电话会议**红梅已把春来报，选坐轻舟过重山,
2020-06-09 13:00:00,,2020-06-09 09:35:00,600028,中国石化,兴业证券,电话会议,中国石化,https://www.kanzhiqiu.com/calendar/event.htm?id=34718,兴业证券**电话会议**中国石化,"<b class=""stock"">600028中国石化</b>"
2020-06-09 13:00:00,,2020-06-09 08:50:00,603466,风语筑,海通证券,电话会议,风语筑,https://www.kanzhiqiu.com/calendar/event.htm?id=34708,海通证券**电话会议**风语筑,"<b class=""stock"">603466风语筑</b>"
2020-06-09 13:30:00,,2020-06-08 17:25:28,600809,山西汾酒,东方证券,电话会议,山西汾酒,https://www.kanzhiqiu.com/calendar/event.htm?id=34677,东方证券**电话会议**山西汾酒,"<b class=""stock"">600809山西汾酒</b>"
2020-06-09 13:30:00,,2020-06-09 07:43:29,002532,新界泵业,华创证券,电话会议,天山铝业,https://www.kanzhiqiu.com/calendar/event.htm?id=34684,华创证券**电话会议**天山铝业,"<b class=""stock"">002532新界泵业</b>"
2020-06-09 14:00:00,,2020-06-08 17:47:18,000513,丽珠集团,东方证券,电话会议,丽珠集团,https://www.kanzhiqiu.com/calendar/event.htm?id=34680,东方证券**电话会议**丽珠集团,"<b class=""stock"">000513丽珠集团</b>"
2020-06-09 14:00:00,,2020-06-08 17:47:18,600535,天士力,东方证券,电话会议,天士力,https://www.kanzhiqiu.com/calendar/event.htm?id=34681,东方证券**电话会议**天士力,"<b class=""stock"">600535天士力</b>"
2020-06-09 14:00:00,,2020-06-08 17:47:18,002563,森马服饰,东方证券,电话会议,森马服饰,https://www.kanzhiqiu.com/calendar/event.htm?id=34678,东方证券**电话会议**森马服饰,"<b class=""stock"">002563森马服饰</b>"
2020-06-09 14:00:00,,2020-06-08 17:47:18,002568,百润股份,东方证券,电话会议,百润股份,https://www.kanzhiqiu.com/calendar/event.htm?id=34679,东方证券**电话会议**百润股份,"<b class=""stock"">002568百润股份</b>"
2020-06-09 14:00:00,2020-06-09 15:00:00,2020-06-05 21:59:45,,,兴业证券,电话会议,网络安全专场,https://www.kanzhiqiu.com/calendar/event.htm?id=34563,兴业证券**电话会议**网络安全专场,
2020-06-09 15:00:00,2020-06-09 16:00:00,2020-06-05 21:59:45,,,兴业证券,电话会议,数字货币高峰对话,https://www.kanzhiqiu.com/calendar/event.htm?id=34564,兴业证券**电话会议**数字货币高峰对话,
2020-06-09 15:00:00,,2020-06-09 09:49:12,688202,美迪西,东方证券,电话会议,美迪西,https://www.kanzhiqiu.com/calendar/event.htm?id=34756,东方证券**电话会议**美迪西,"<b class=""stock"">688202美迪西</b>"
2020-06-09 15:00:00,,2020-06-09 09:49:12,002773,康弘药业,东方证券,电话会议,康弘药业,https://www.kanzhiqiu.com/calendar/event.htm?id=34755,东方证券**电话会议**康弘药业,"<b class=""stock"">002773康弘药业</b>"
2020-06-09 15:00:00,,2020-06-09 09:49:12,600332,白云山,东方证券,电话会议,白云山,https://www.kanzhiqiu.com/calendar/event.htm?id=34754,东方证券**电话会议**白云山,"<b class=""stock"">600332白云山</b>"
2020-06-09 15:00:00,,2020-06-09 09:49:12,06186,中国飞鹤,东方证券,电话会议,中国飞鹤,https://www.kanzhiqiu.com/calendar/event.htm?id=34753,东方证券**电话会议**中国飞鹤,"<b class=""stock"">06186中国飞鹤</b>"
2020-06-09 15:00:00,,2020-06-09 09:49:12,603609,禾丰牧业,东方证券,电话会议,禾丰牧业,https://www.kanzhiqiu.com/calendar/event.htm?id=34752,东方证券**电话会议**禾丰牧业,"<b class=""stock"">603609禾丰牧业</b>"
2020-06-09 15:00:00,,2020-06-09 09:49:12,002867,周大生,东方证券,电话会议,周大生,https://www.kanzhiqiu.com/calendar/event.htm?id=34751,东方证券**电话会议**周大生,"<b class=""stock"">002867周大生</b>"
2020-06-09 16:00:00,,2020-06-09 09:49:12,600258,首旅酒店,东方证券,电话会议,首旅酒店,https://www.kanzhiqiu.com/calendar/event.htm?id=34757,东方证券**电话会议**首旅酒店,"<b class=""stock"">600258首旅酒店</b>"
2020-06-09 16:00:00,,2020-06-09 09:49:12,002311,海大集团,东方证券,电话会议,海大集团,https://www.kanzhiqiu.com/calendar/event.htm?id=34758,东方证券**电话会议**海大集团,"<b class=""stock"">002311海大集团</b>"
2020-06-09 16:00:00,,2020-06-09 09:49:12,300685,艾德生物,东方证券,电话会议,艾德生物,https://www.kanzhiqiu.com/calendar/event.htm?id=34759,东方证券**电话会议**艾德生物,"<b class=""stock"">300685艾德生物</b>"
2020-06-09 16:00:00,,2020-06-09 09:49:12,600055,万东医疗,东方证券,电话会议,万东医疗,https://www.kanzhiqiu.com/calendar/event.htm?id=34760,东方证券**电话会议**万东医疗,"<b class=""stock"">600055万东医疗</b>"
2020-06-09 16:00:00,2020-06-09 17:00:00,2020-06-05 21:59:45,,,兴业证券,电话会议,信创专场,https://www.kanzhiqiu.com/calendar/event.htm?id=34565,兴业证券**电话会议**信创专场,
2020-06-09 16:00:00,,2020-06-08 17:04:06,002456,欧菲光,东吴证券,联合调研,欧菲光,https://www.kanzhiqiu.com/calendar/event.htm?id=34667,东吴证券**联合调研**欧菲光,"<b class=""stock"">002456欧菲光</b>"
2020-06-09 17:00:00,2020-06-09 18:00:00,2020-06-05 21:59:45,,,兴业证券,电话会议,IaaS专场,https://www.kanzhiqiu.com/calendar/event.htm?id=34566,兴业证券**电话会议**IaaS专场,
2020-06-09 20:00:00,,2020-06-09 08:49:06,,,海通证券,电话会议,疫苗行业,https://www.kanzhiqiu.com/calendar/event.htm?id=34707,海通证券**电话会议**疫苗行业,
2020-06-09 20:00:00,,2020-06-09 17:07:31,,,申万宏源研究,电话会议,潮玩盲盒产业链,https://www.kanzhiqiu.com/calendar/event.htm?id=34789,申万宏源研究**电话会议**潮玩盲盒产业链,
2020-06-10 00:00:00,2020-06-12 00:00:00,2020-06-09 14:26:46,,,兴业证券,电话会议,海外地产中期策略会,https://www.kanzhiqiu.com/calendar/event.htm?id=34766,兴业证券**电话会议**海外地产中期策略会,
2020-06-10 10:00:00,,2020-06-09 16:32:11,600073,上海梅林,东方证券,电话会议,上海梅林 ,https://www.kanzhiqiu.com/calendar/event.htm?id=34772,东方证券**电话会议**上海梅林 ,"<b class=""stock"">600073上海梅林</b>"
2020-06-10 10:00:00,,2020-06-09 16:32:11,600998,九州通,东方证券,电话会议,九州通,https://www.kanzhiqiu.com/calendar/event.htm?id=34773,东方证券**电话会议**九州通,"<b class=""stock"">600998九州通</b>"
2020-06-10 10:00:00,,2020-06-09 16:32:11,600398,海澜之家,东方证券,电话会议,海澜之家,https://www.kanzhiqiu.com/calendar/event.htm?id=34771,东方证券**电话会议**海澜之家,"<b class=""stock"">600398海澜之家</b>"
2020-06-10 14:00:00,,2020-06-09 16:32:11,600754,锦江酒店,东方证券,电话会议,锦江酒店 ,https://www.kanzhiqiu.com/calendar/event.htm?id=34774,东方证券**电话会议**锦江酒店 ,"<b class=""stock"">600754锦江酒店</b>"
2020-06-10 15:00:00,,2020-06-08 17:06:31,600183,生益科技,国金证券,电话会议,生益科技,https://www.kanzhiqiu.com/calendar/event.htm?id=34668,国金证券**电话会议**生益科技,"<b class=""stock"">600183生益科技</b>"
2020-06-10 15:00:00,,2020-06-09 16:18:01,300568,星源材质,东吴证券,联合调研,星源材质,https://www.kanzhiqiu.com/calendar/event.htm?id=34770,东吴证券**联合调研**星源材质,"<b class=""stock"">300568星源材质</b>"
2020-06-10 15:00:00,,2020-06-09 16:32:11,002262,恩华药业,东方证券,电话会议,恩华药业,https://www.kanzhiqiu.com/calendar/event.htm?id=34778,东方证券**电话会议**恩华药业,"<b class=""stock"">002262恩华药业</b>"
2020-06-10 15:00:00,,2020-06-09 16:32:11,603198,迎驾贡酒,东方证券,电话会议,迎驾贡酒,https://www.kanzhiqiu.com/calendar/event.htm?id=34777,东方证券**电话会议**迎驾贡酒,"<b class=""stock"">603198迎驾贡酒</b>"
2020-06-10 15:00:00,,2020-06-09 16:32:11,600298,安琪酵母,东方证券,电话会议,安琪酵母,https://www.kanzhiqiu.com/calendar/event.htm?id=34776,东方证券**电话会议**安琪酵母,"<b class=""stock"">600298安琪酵母</b>"
2020-06-10 15:00:00,,2020-06-09 16:32:11,600612,老凤祥,东方证券,电话会议,老凤祥,https://www.kanzhiqiu.com/calendar/event.htm?id=34775,东方证券**电话会议**老凤祥,"<b class=""stock"">600612老凤祥</b>"
