date , max_temp , min_temp , weather , wind_dir , wind_force
2011-01-01 , 5 , -1 , 雨夹雪 , 无持续风向 , 微风
2011-01-02 , 7 , 0 , 多云 , 无持续风向~北风 , 微风
2011-01-03 , 6 , 0 , 雨夹雪 , 北风 , 微风
2011-01-04 , 4 , -2 , 雨夹雪~阴 , 北风 , 微风
2011-01-05 , 5 , -1 , 多云 , 北风 , 微风
2011-01-06 , 6 , 0 , 多云~晴 , 北风 , 微风
2011-01-07 , 6 , 0 , 阴 , 东北风 , 微风
2011-01-08 , 4 , -2 , 雨夹雪 , 东北风 , 微风
2011-01-09 , 4 , -2 , 雨夹雪 , 北风 , 4-5级
2011-01-10 , 2 , -1 , 小雪 , 北风 , 微风
2011-01-11 , 4 , -2 , 中雪~小雪 , 东北风~北风 , 3-4级~4-5级
2011-01-12 , 5 , 0 , 阴 , 北风 , 微风
2011-01-13 , 6 , -1 , 多云 , 东北风 , 微风
2011-01-14 , 4 , -3 , 多云~晴 , 北风~东风 , 微风
2011-01-15 , 4 , -2 , 多云~阴 , 北风 , 3-4级
2011-01-16 , 3 , -2 , 阴~雨夹雪 , 北风 , 微风
2011-01-26 , 5 , 0 , 阴~雨夹雪 , 东风 , 微风
2011-01-29 , 4 , -2 , 多云 , 东北风 , 微风
2011-01-30 , 5 , -1 , 多云~晴 , 东北风 , 微风
2011-01-31 , 6 , 0 , 晴~多云 , 北风 , 微风
2011-02-01 , 9 , 1 , 多云 , 北风 , 微风
2011-02-02 , 11 , 3 , 晴 , 南风 , 微风
2011-02-03 , 15 , 3 , 晴~多云 , 南风~东南风 , 微风
2011-02-04 , 15 , 3 , 晴~多云 , 无持续风向 , 微风
2011-02-05 , 16 , 5 , 多云~晴 , 东北风 , 微风
2011-02-06 , 15 , 4 , 阴~多云 , 南风 , 微风
2011-02-07 , 19 , 6 , 多云 , 无持续风向 , 微风
2011-02-08 , 19 , 6 , 多云 , 北风 , 微风
2011-02-09 , 13 , 3 , 阴~小雨 , 北风 , 5-6级~4-5级
2011-02-10 , 5 , 0 , 中雨~小雨 , 东北风 , 微风
2011-02-11 , 5 , -1 , 多云 , 北风 , 微风
2011-02-12 , 7 , 1 , 多云~小雨 , 北风 , 微风
2011-02-13 , 4 , -1 , 雨夹雪 , 东北风 , 微风
2011-02-14 , 6 , -2 , 阴~多云 , 无持续风向 , 微风
2011-02-15 , 7 , 1 , 多云~阴 , 东北风 , 微风
2011-02-16 , 6 , 2 , 小雨 , 东风 , 微风
2011-02-17 , 6 , 3 , 小雨~阴 , 东北风 , 微风
2011-02-18 , 7 , 3 , 阴~小雨 , 北风 , 微风
2011-02-19 , 8 , 2 , 阴~多云 , 无持续风向 , 微风
